Mot;Contexte;Définition;Exemples ;
Exciper ;;Se prévaloir d'une exception, alléguer une excuse, invoquer un fait pour en tirer une exception.;Exciper de sa bonne foi. Exciper d'une longue prescription.;
Démagogie ;Politique;Politique par laquelle on flatte les masses por gagner et exploiter leur adhésion.;il fait de la démagogie pour se faire élire.;
Expurcher ;;Abréger (un texte) en éliminant ce qui est contraire à une morale, à un dogme, en exclure les membres compromettants.;Expurger un parti politique,;
Imputer;;Attribuer à qqun une chose digne de blâme (faute, crime…).;On lui impute à crime un simple oubli (on considère comme un crime).;
Conchier;Familier;Souiller d'excréments.;Sachez que je vous conchie et que vos paroles ne sont pour moi que du vent !;
Oblitérer ;Médecine;Obstruer, boucher (un canal...).;L’ouverture du vaisseau est oblitérée par de la fibrine.;
Impérialisme ;Politique;Politique d'un État visant à réduire d'autres États sous sa dépendance politique ou économique.;L’impérialisme britannique au XIX ème siècle.;
Se cantonner ;;Limiter ses activités.; Se cantonner dans ses études.;
Lisière ;;Bordure limitant de chaque côté une pièce d’étoffe, partie extrême (d'un terrain, d'une région).; La lisière d'un champ, d'une forêt.;
Pérégrination ;Vieux;"Voyage en pays lointain ; moderne. Au pluriel : déplacements incessants en de nombreux endroits.";J’ignore si tu prendras grand intérêt aux pérégrinations d’un touriste parti de Paris en plein novembre.;
Acquiescer ;;Donner son entier consentement (à). Sans complément : marquer son approbation (par la parole, un geste).;Acquiescer à une demande. Acquiescer d'un signe de tête;
Livide;Littéraire;Qui est de couleur plombée, bleuâtre.;D'une paleur terne.;
Blafard ;;D'une teinte pâle et sans éclat.;Un teint blafard.;
Sophisme;;Argument qui, partant de prémisses vraies, ou jugées telles, raisonnement vicié à la base, reposant sur un jeu de mots, un argument séduisant mais faux, destiné à induire en erreur.;;
Symposium;;Réunion ou congrès de spécialistes, sur un thème scientifique particulier.;;
Prêcher pour sa paroisse ;Expression;Se dit d'une personne qui, bien qu'affichant une certaine objectivité, favorise, dans son argumentaire, son camp ou son groupe.;;
Prostré;;Qui est dans un état de prostration (état d'abattement physique et psychologique extrême, de faiblesse et d'inactivité totale.;Être, tomber dans une prostration profonde : un malade prostré.;
Pantoise ;;Dont le souffle est coupé par l'émotion, la surprise.;;
Déroger;Droit et littéraire;Ne pas observer, ne pas appliquer (une loi, une règle, une convention). Manquer à (sa situation sociale, ses principes).;Déroger à la loi. Déroger à son rang, à ses convictions.;
Parangon;Littéraire;Modèle, archétype, représentant de. Vieux mot qui signifiait autrefois une chose excellente et hors de comparaison.;Cela est sans parangon. C'est un parangon de sagesse.;
Ésotérique;;Se dit d'un mode d'expression, d'une oeuvre qui n'est compréhensible que des initiés, hermétique, abstrus, abscons.;Langage ésotérique.;
Exotérique ;Didactique;Qui peut être enseigné en public, qui peut être divulgué (en parlant d'une doctrine philosophique). Se dit d'une doctrine philosophique ou religieuse enseignée publiquement (par opposition avec ésotérique).;;
Oblitérer ;Vieilli ;Effacer par une usure progressive.;;
Inférence ;Logique;Opération logique qui consiste à admettre une proposition en raison de son lien avec une proposition préalable tenue pour vraie.;;
Ébréchure ;;Partie ébréchée (entaillée, cassure sur le bord d'un objet), petit morceau cassé du bord d'un objet.;;
Erratique ;Didactique;Qui n'est pas fixe. Pour des personnes : errant, instable.;Les mouvements erratiques du dollar.;
Subreptice;;Qui est obtenu, qui se fait par surprise, à l'insu de qqun et contre sa volonté.;Une manœuvre subreptice;
Amodier ;Droit;Louer (une terre, une mine) par amodiation.;;
Concéder ;;Accorder qqch à qqun comme une faveur. Céder sur (un point en discussion).;Concéder un privilège. Je vous concède ce point.;
Peu ou prou;Littéraire;Plus ou moins.;;
Intriquer;;Rendre complexe, entremêler.;;
Macro;;"Préfxe du grec ""makros"" qui signifie ""long"", ""grand"". Employé dans des composés du vocabulaire technique et scientifique, où il donne une valeur de grandeur à l'élément auquel il est associé.";;
Micro;;"Préfixe, du grec ""mikros"" qui signifie ""petit"", indiquant que quelque chose est très petit.";;
Macroscopique;Science;"Qui se voit à l'oeil nu (opposé à microscopique) ; qui est à l'échelle du macroscome (le cosmos, l'univers).";;
Microscopique ;Didactique ;Qui se fait à l'aide du microscope, visible seulement au microscope, très petit, minuscule.;;
Poreux;Courant et figuré;Qui présente une multitude de pores, de petits trous (matière minérale, poterie, etc.). Perméable, qui permet l'échange, l'influence.;Des frontières poreuses.;
Porosité ;Didactique ;État de ce qui est poreux, absence de délimitation claire entre deux domaines, deux milieux, etc., pouvant donner lieu à un jeu d'influences réciproques, voire à une connivence répréhensible.;Certains dénoncent la porosité entre le pouvoir et a finance.;
Supplanter ;;Passer devant, prendre la place de (qqun) en lui faisant perdre son crédit. Éliminer (une chose) en la remplaçant. ;Supplanter un rival. Le disque compact a supplanté le microsillon.;
Semilinguisme ;Linguistique ;Désigne une situation dans laquelle un enfant peut acquérir un niveau de langage correspondant à ses capacités linguistiques originelles, et ce dans aucune langue..;;
Épilinguistique ;Linguistique ;Discours et expression de jugements sur les pratiques langagières.;Activité épilinguistique.;
Éminement ;;"À très haut degré ; extrêmement.";Cette hypothèse est éminemment présente au sein de la sphère académique.;
Rémanence;Sciences;Persistance partielle d'un phénomène après disparition de sa cause.; Rémanence des images visuelles.;
Marquer du seau de ;;Mettre la signature de, laisser la marque de.;;
Incomplétude ;;Insatisfaction, manque éprouvé par quelqu'un qui a le sentiment de ne pas s'être complètement réalisé.;;
À la lisière de ;Expression;Bord d'une zone.;À la lisière de la forêt.;
Impartial;;Qui est sans parti pris, ne manifeste aucun parti pris.;Un juge impartial.;
Méandre;Au figuré;Détour compliqué. Cheminement capricieux, sinueux de quelque chose.;Les méandres de la pensée, les méandres d'un exposé.;
Quitus ;;Acte par lequel le dirigeant d'une société, et plus généralement le responsable de la gestion d'un patrimoine ou d'une opération déterminée, est reconnu s'être acquitté de sa charge.;"L'assemblée, soit donne ""quitus"" soit ""refuse de donner quitus"".";
Coruscant ;Littéraire;Brillant, éclatant.;J’ai le cerveau plein de ces vents et de ces coruscantes vagues qui hennissent.;
Verbiager ;Péjoratif;Abondance de paroles, de mots vides de sens ou qui disent peu de chose.;Il n’y a que du verbiage dans ce discours, ce livre.;
Paie pas de mine;Expression;"Signifie qu'une personne a un aspect un peu négligé, qui n’est pas engageant. Au XVII siècle, le terme ""payer de mine"" signifiait qu'une personne avait un physique agréable et possédait une belle prestance.";;
Casse pas des briques ;Expression;Être très commun, ne rien avoir d'extraordinaire, être à la limite de la médiocrité.;C’est bon mais ça casse pas des briques.;
Uchronie ;Didactique ;Récits d'évènements fictifs à partir d'un point de départ historique.;;
Éructer ;Littéraire et figuré;Renvoyer par la bouche les gaz contenus dans l'estomac. Proférer grossièrement.;Éructer des injures;
Rétif;;Qui s'arrête d'avancer, qui refuse d'avancer.;;
Imprécation;Littéraire;Souhait de malheur envers qqun.;C’était une tempête d’imprécations contre le faisan qui rôtissait, contre les sauces dont l’odeur grasse ravageait leurs estomacs vides (Zola, Germinal, 1885, p. 1440).;
Suranné ;Littéraire;Qui a cessé d'être en usage, qui évoque une époque révolue.;Passeport suranné.;
Hébété;;Rendu stupide.;"Entre-temps, le patient peut rentrer, mais l’ambulancier revient à la charge; visiblement hébété par la situation.";
Hébétude ;Littéraire;État d'une personne hébétée, stupéfaite. Médecine : engourdissement des facultés cérébrales dans certaines maladies, l'anémie cérébrale par exemple.;;
Échevelé;;Dont les cheveux sont en désordre.;;
Apathique ;;Qui manque d'énergie ou de réactivité émotionnelle.;;
Loquacité ;Littéraire;Disposition à parler beaucoup.;Se livrer à des loquacités.;
Velleitaire ;;Qui n'a que des intentions faibles, ne se décide pas à agir.;Il lui est facile de prouver que je ne suis qu’un velléitaire, incapable de produire aucune œuvre. (Gide, Journal, 1947, p. 307).;
Infatué ;;Trop pénétrer de ses mérites, être content de soi.;Être infatué de soi-même, de ses mérites.;
Dicible ;;Qui peut être dit, exprimé.;Nous n’avions rien à nous dire qui fût dicible.;
Inanité ;Vieux;Vide, néant. Littéraire: caractère de ce qui est vain.;L'inanité de nos efforts.;
